ph,turbidity,tds,chlorine,fluoride,nitrate,coliform,temperature,symptom_diarrhea_count,symptom_vomiting_count,symptom_fever_count,symptom_abdominal_pain_count,symptom_jaundice_count,symptom_dehydration_count,symptom_fatigue_count,symptom_nausea_count,symptom_headache_count,mild_case_count,moderate_case_count,severe_case_count,critical_case_count,symptoms_list,disease_outbreak_label,symptom_abdominal_cramps_count,symptom_loss_of_appetite_count,mild_case,moderate_case,severe_case,critical_case,district_Dibrugarh,district_Jorhat,district_Kamrup Metro,district_Sonitpur,primary_water_source_Municipal tap water,primary_water_source_Pond water,primary_water_source_River water,primary_water_source_Tube well,primary_water_source_Well water
6.95,13.5,576,0.79,0.11,34,110,22.2,3,2,7,14,0,4,6,8,5,33,14,3,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
7.03,20.8,152,0.12,0.13,13,110,24.4,1,3,8,2,15,5,15,11,6,28,18,7,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.57,24.5,547,0.12,0.56,19,326,18.5,22,13,3,7,0,19,4,6,5,54,18,6,3,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
6.91,24.2,115,0.14,0.13,5,113,20.5,0,6,5,5,15,5,5,9,4,37,13,6,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True
7.28,47.4,613,0.23,0.66,3,306,24.8,3,8,7,20,0,5,7,2,1,29,18,5,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7.59,31.7,484,0.51,0.39,47,70,23.7,1,4,15,17,0,3,5,5,6,26,16,7,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,False,True
6.43,38.6,653,0.35,0.16,13,483,23.0,29,15,2,10,0,8,4,5,1,31,15,9,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.24,6.7,183,0.06,0.18,5,136,18.5,3,4,3,0,23,5,14,12,3,36,10,8,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
7.21,22.0,178,0.25,0.24,47,137,19.4,5,0,20,3,0,1,10,10,10,25,12,6,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.32,23.9,593,0.51,0.18,37,22,18.8,0,1,6,16,0,4,10,2,9,24,14,2,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
6.83,66.3,216,0.36,0.69,29,781,22.7,17,7,4,10,0,7,3,3,6,24,19,8,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False
7.23,2.5,89,0.9,0.14,5,7,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
6.81,65.6,374,0.22,0.31,9,89,26.1,4,25,3,5,0,11,8,7,1,38,14,7,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.11,27.5,217,0.34,0.64,3,135,28.0,10,0,3,7,0,11,10,5,3,30,11,3,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.51,5.6,409,0.26,0.33,46,143,18.2,3,6,12,17,0,5,19,1,2,31,21,4,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
7.2,22.3,66,0.24,0.39,18,126,19.7,0,3,7,3,18,0,18,16,0,34,16,7,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
7.55,19.1,118,0.11,0.11,3,87,19.4,8,8,6,5,0,10,10,1,6,27,18,6,2,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True
6.25,40.1,539,0.07,0.49,28,214,22.2,24,11,0,8,0,16,5,4,5,49,22,6,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True
8.37,54.0,722,0.06,0.35,29,772,19.4,21,7,2,7,0,11,4,9,2,25,12,4,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False
7.01,114.4,564,0.26,0.56,3,358,25.2,10,12,5,9,0,1,2,8,2,33,10,3,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
7.05,79.9,302,0.22,0.48,27,523,23.9,23,13,4,9,0,12,6,2,4,36,15,6,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
7.52,65.4,632,0.16,0.62,16,395,20.2,11,11,2,5,0,16,9,10,5,41,16,6,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
6.81,19.2,133,0.1,0.29,4,240,24.0,16,3,0,1,0,8,10,2,5,27,14,3,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
7.34,44.5,629,0.35,0.28,8,361,20.2,5,10,6,12,0,10,7,8,0,38,19,7,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
7.18,7.5,64,0.98,0.47,1,9,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
7.21,61.6,309,0.27,0.36,2,369,25.1,11,12,7,10,0,11,3,14,6,39,20,7,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
7.76,21.2,630,0.15,0.17,17,250,21.9,14,12,1,2,0,17,2,5,1,35,14,3,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
7.44,45.9,350,0.12,0.17,28,209,21.1,25,11,0,6,0,13,10,3,5,32,20,5,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
7.53,26.8,165,0.17,0.36,7,299,19.2,16,5,3,3,0,12,7,6,1,21,17,4,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.46,9.3,401,0.34,0.21,62,102,18.3,6,5,25,5,0,1,5,4,2,21,15,5,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False
6.87,1.5,135,0.79,0.18,7,8,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.01,10.6,109,0.36,0.25,21,77,26.2,5,2,7,6,23,1,7,8,1,25,10,6,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.4,7.7,576,0.32,0.6,30,137,21.9,5,4,14,8,0,5,13,8,11,39,13,6,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
7.37,17.1,195,0.41,0.24,7,255,19.0,13,6,1,1,0,4,3,2,0,17,8,2,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,False,False,True,False
7.0,11.6,262,0.26,0.52,9,236,21.7,6,6,4,7,0,5,1,2,2,14,7,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,True,False,False,False,False
7.3,19.1,529,0.25,0.62,42,119,27.3,0,4,24,9,0,6,5,8,8,39,15,7,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.18,27.5,106,0.21,0.66,24,131,24.8,3,6,4,0,15,3,11,16,6,31,11,3,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
7.02,2.2,97,0.56,0.29,5,2,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.0,7.6,117,0.51,0.15,6,8,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
7.32,106.3,651,0.3,0.53,6,319,18.9,8,9,1,15,0,2,5,11,5,34,9,3,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
6.83,75.9,786,0.13,0.16,26,596,24.6,13,4,0,8,0,17,8,1,1,33,14,7,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
6.95,30.7,406,0.19,0.45,8,252,18.3,30,9,2,8,0,14,9,2,4,49,12,11,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
6.98,29.6,54,0.07,0.37,18,70,27.8,3,2,7,3,20,0,12,11,1,40,10,4,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
6.92,91.4,140,0.38,0.27,9,298,23.9,8,22,3,9,0,12,9,10,5,52,23,6,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
6.88,19.7,388,0.31,0.31,50,97,22.6,3,3,18,6,0,0,3,9,12,31,17,7,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.4,12.5,208,0.36,0.13,70,27,23.9,3,6,9,11,0,0,14,8,9,41,9,8,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
7.05,11.7,124,0.45,0.25,4,225,23.3,6,5,1,1,0,6,2,6,4,16,6,1,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
6.88,95.6,611,0.45,0.28,6,66,21.0,7,7,6,5,0,7,2,5,6,26,11,6,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
6.93,80.7,652,0.14,0.58,3,123,27.2,7,22,7,11,0,11,10,2,3,46,16,7,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
6.95,26.8,207,0.25,0.53,38,70,22.6,1,1,17,4,0,5,10,10,6,25,14,5,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
7.46,28.8,167,0.21,0.34,7,115,24.0,0,5,7,5,27,3,9,6,6,45,16,4,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False
6.85,6.6,513,0.57,0.35,75,104,20.4,3,0,20,5,0,1,16,1,6,35,8,7,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.77,24.5,770,0.15,0.52,22,322,25.8,12,3,1,6,0,16,9,5,0,30,17,4,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
7.08,15.8,323,0.72,0.36,65,40,27.6,5,6,10,6,0,4,4,7,12,34,15,6,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.13,23.4,73,0.24,0.43,17,144,20.8,1,3,8,5,24,5,5,12,2,33,21,6,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
7.19,4.5,112,0.43,0.39,0,2,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
7.01,47.7,145,0.28,0.28,3,133,21.6,14,4,1,1,0,12,3,0,6,18,14,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
6.84,5.8,401,0.41,0.35,35,122,25.5,5,0,13,10,0,4,19,1,3,25,18,5,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
7.36,77.9,404,0.26,0.54,8,407,20.9,27,15,4,3,0,17,8,10,3,45,25,5,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
7.05,12.2,246,0.29,0.43,42,52,20.0,0,0,14,4,0,2,12,4,11,22,10,5,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7.12,19.5,372,0.37,0.58,53,122,26.4,4,2,8,8,0,4,15,6,7,34,17,7,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
6.86,11.7,124,0.36,0.46,20,97,24.8,4,3,10,5,27,1,20,13,3,58,28,9,4,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
7.01,40.0,659,0.29,0.43,6,572,21.5,25,11,0,2,0,18,3,7,3,34,15,6,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
7.13,10.7,340,0.41,0.55,9,102,21.9,18,8,0,0,0,7,5,5,4,23,7,5,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
6.95,15.9,370,0.52,0.59,5,264,24.3,8,4,0,8,0,6,10,4,6,31,8,3,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
6.92,30.8,271,0.13,0.17,3,127,23.1,12,0,5,7,0,6,7,0,5,18,8,5,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.04,0.6,66,0.86,0.29,4,8,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
6.98,28.4,129,0.15,0.69,24,77,18.3,1,3,10,1,24,6,9,18,0,46,13,8,3,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.01,44.2,203,0.37,0.59,2,99,19.8,17,2,1,0,0,8,6,6,4,29,12,2,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False
7.81,62.4,639,0.09,0.3,22,768,20.7,26,3,3,10,0,19,4,6,2,29,16,4,3,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
7.05,54.5,245,0.14,0.52,13,762,21.0,10,10,1,4,0,19,9,7,0,36,20,4,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
6.89,81.8,178,0.09,0.59,9,162,23.6,12,15,7,14,0,3,7,12,5,50,12,6,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.47,6.7,124,0.64,0.36,2,3,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
6.98,17.6,320,0.4,0.5,7,197,18.5,11,1,2,1,0,10,2,3,4,18,7,2,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False
7.36,26.9,102,0.05,0.31,18,43,18.7,0,5,5,7,26,0,10,14,5,35,16,9,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
7.0,34.9,403,0.51,0.3,3,253,25.8,20,4,1,2,0,5,6,6,2,29,9,3,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
6.98,14.1,251,0.79,0.55,70,102,27.4,0,2,11,8,0,0,18,4,11,24,14,4,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
7.02,29.0,411,0.42,0.5,44,125,22.1,1,2,17,16,0,0,17,6,6,38,17,5,0,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
7.14,27.2,269,0.24,0.68,4,118,18.5,16,5,4,2,0,6,2,4,5,23,10,3,2,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
8.4,52.4,571,0.39,0.46,16,638,27.6,28,7,1,3,0,5,2,2,2,29,13,3,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
7.56,16.1,127,0.36,0.17,20,36,25.0,2,1,5,6,12,0,11,13,6,38,9,6,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.06,8.4,81,0.1,0.68,18,65,25.9,2,5,5,6,11,2,5,12,3,35,8,3,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False
7.53,18.2,214,0.34,0.49,8,292,25.8,13,1,2,6,0,9,4,5,5,25,8,3,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False
7.06,14.1,327,0.55,0.32,7,221,22.6,9,3,2,2,0,3,10,1,5,23,10,2,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
6.93,75.2,723,0.11,0.1,19,624,18.8,13,9,2,10,0,10,8,4,0,34,9,3,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.59,107.9,528,0.04,0.6,4,301,20.1,2,13,3,12,0,3,10,10,2,34,13,4,1,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
6.92,99.5,656,0.3,0.4,7,346,20.5,4,15,7,8,0,11,8,3,1,26,11,8,2,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
7.5,5.6,119,0.96,0.33,2,2,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False
7.48,62.5,504,0.2,0.47,7,67,26.5,8,13,2,5,0,3,6,9,2,22,10,5,0,"[""Vomiting"", ""Abdominal pain""]",gastroenteritis,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
6.89,25.4,575,0.25,0.24,51,69,27.9,0,0,10,8,0,6,4,4,3,19,5,3,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
7.33,28.3,136,0.65,0.55,31,96,27.6,3,6,11,4,0,1,19,6,10,33,17,4,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False
7.11,4.9,117,0.91,0.46,3,7,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True
7.03,29.1,263,0.6,0.58,2,155,21.4,7,1,2,2,0,7,6,4,5,18,6,3,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
6.8,19.5,204,0.37,0.13,7,228,23.0,14,1,4,7,0,10,6,6,5,23,10,6,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
7.55,30.5,350,0.32,0.32,1,116,25.8,16,2,0,3,0,3,1,4,6,22,6,2,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True
7.23,14.6,288,0.25,0.14,79,92,22.3,6,0,21,18,0,5,16,6,8,53,25,10,2,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
7.59,19.7,88,0.17,0.39,17,143,21.8,0,4,7,0,27,2,13,10,5,44,23,9,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True
7.41,3.3,115,0.7,0.31,4,9,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
6.28,58.2,264,0.11,0.31,29,385,27.1,28,6,4,8,0,18,7,3,4,46,22,8,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.04,46.6,279,0.32,0.22,7,97,27.2,10,8,0,5,0,4,8,4,3,19,8,4,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
7.48,24.5,123,0.28,0.7,7,142,24.8,5,3,3,5,8,1,3,14,2,30,12,2,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False
7.32,28.2,95,0.06,0.6,20,93,23.0,0,2,8,6,19,0,12,9,5,35,18,7,0,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,True,False,False,False,False
7.3,26.2,265,0.55,0.61,77,88,19.9,6,3,23,7,0,5,4,9,2,32,9,5,1,"[""Fever"", ""Abdominal pain""]",typhoid,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False
6.82,15.4,127,0.38,0.26,20,107,27.3,5,6,9,7,24,6,19,4,3,53,22,10,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False
7.29,7.9,92,0.74,0.28,6,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
6.96,6.0,34,0.49,0.21,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
7.18,7.3,126,0.59,0.26,2,9,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
7.2,43.2,483,0.02,0.32,23,354,19.2,9,9,0,7,0,16,10,2,3,37,17,5,0,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
6.26,76.5,509,0.35,0.65,14,503,21.5,17,10,3,10,0,18,8,1,1,30,12,5,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True
7.58,13.7,79,0.38,0.2,10,52,23.5,5,6,10,7,8,5,7,4,5,30,10,6,2,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
8.17,76.3,699,0.35,0.22,6,698,27.0,30,14,3,6,0,8,5,3,2,36,21,9,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
8.41,78.2,201,0.31,0.36,22,652,28.0,22,9,4,5,0,8,8,1,4,40,17,8,1,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False
7.19,18.7,116,0.38,0.44,7,99,20.7,14,7,5,8,0,12,8,2,2,36,18,5,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,True,False,False,False
6.12,66.9,771,0.26,0.56,14,263,21.0,18,5,0,10,0,15,6,8,2,44,19,9,2,"[""Diarrhea"", ""Vomiting""]",cholera,0,0,0,0,0,0,False,True,False,False,False,False,True,False,False
7.5,25.9,167,0.32,0.17,1,85,20.4,13,7,3,5,0,2,1,1,2,17,6,2,0,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,False,True,False,False,True,False,False
7.44,12.0,83,0.17,0.39,24,46,23.2,6,1,4,2,25,6,12,9,1,45,17,7,1,"[""Jaundice"", ""Nausea""]",hepatitis_a,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False
6.85,14.9,204,0.26,0.12,6,215,18.1,12,6,1,1,0,9,2,2,4,18,12,4,1,"[""Diarrhea""]",diarrhea,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False
7.53,6.8,137,0.64,0.15,0,5,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],none,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True
